承担单位,级别,序号,项目名称,项目批次,支持方向
广东机电职业技术学院,市级,1,一种高效集水高分子多孔膜的制备方法及行为机理研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,2,非结构化动态场景下V-SLAM鲁棒性研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东省计量科学研究院,市级,3,体外诊断设备校准急需蛋白质计量关键技术及标准物质研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,4,柔性多连杆机械手非线性动力学分析与实验验证,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东省新兴激光等离子体技术研究院,市级,5,离子注入对金属氧化物薄膜的缺陷及其化学稳定性的影响机制,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,6,网络嵌入视角下粤港澳大湾区区域文化环境对高新技术企业创新能力的影响机制及对策研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,7,BP神经网络辅助MIMO天线快速优化设计方法研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广州市林业和园林科学研究院,市级,8,几种肖竹芋属植物工厂化生产技术研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,9,静电纺丝纳米纤维宏量制备的多场耦合机理与调控方法研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广州科技职业技术大学,市级,10,负载Cu@g-C3N4/rGO的多功能水凝胶促进感染性创面康复的研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东科贸职业学院,市级,11,基于深度学习的钙钛矿薄膜晶界检测研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东科贸职业学院,市级,12,鱼类致病菌荧光假单胞菌、白皮假单胞菌和水型点状假单胞菌三重恒温微流控快速检测方法的建立,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东科贸职业学院,市级,13,甲霜灵对映体在水产动物体内的药动学和残留消除研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广州万协通信息技术有限公司,市级,14,低功耗多模态感算一体芯片研发及智能驾驶应用示范项目,2023年度重点领域研发专题（人工智能）,车辆交通
广州市白云区高新技术企业协会,市级,15,2023年广州市白云区科普“一区一品牌”项目,2023年度科普专题,科普品牌项目
广东机电职业技术学院,市级,16,岭南特色农产品蓄冷储运保鲜关键技术与装备应用,2023年度农村科技特派员专题,市内帮扶方向
广东机电职业技术学院,市级,17,"基于""区块链+绿色碳足迹+MVC电商""多元技术的广东康御新型农业示范园数智化运营模式的创新与实践",2023年度农村科技特派员专题,市内帮扶方向
南方医科大学,省级,18,PCM1及其蛋白互作网络调控中心体稳态在精子发生和成熟中的作用和机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,杰出青年
南方医科大学,省级,19,细胞膜-内质网/肌质网膜介导的钙稳态与心血管病机理,2023年度广东省基础与应用基础研究基金自然科学基金项目,杰出青年
南方医科大学,省级,20,基于荧光纳米流式技术的循环细菌胞外囊泡检测新方法的构建及其临床应用,2023年度广东省基础与应用基础研究基金自然科学基金项目,杰出青年
南方医科大学,省级,21,纳米硒载药体系靶向激活造血微环境Notch信号对射线损伤后造血干细胞重塑的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,22,“cGAS-STING-自噬”轴识别及调控幽门螺杆菌感染的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,23,内质网靶向自组装纳米药物多策略增强肿瘤光动力学治疗及抗肿瘤免疫,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,24,糖尿病患者APLN/APJ轴异常活化损伤血睾屏障和精子质量的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,25,靶向性MOV纳米颗粒重建气道粘膜免疫耐受功能及其抑制哮喘炎症反应的机 理研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,26,NLRP3炎症小体与肠道菌群互作在脑出血后皮质脊髓束损伤中的作用及机制 研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,27,铜氧体系下缺电子芳香氮杂环的绿色转化研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,28,瘦素受体SNO化在小胶质细胞介导的蛛 网膜下腔出血后癫痫的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,29,RNA适配体介导的hfCas13d-RNP外泌体高效抑制登革病毒感染和耐药的机制 研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,30,以Collagen-IV为结构基础的基底膜参与SVF-gel移植后体内成脂的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,31,非氧依赖的电动力学-免疫级联疗法治疗乏氧耐药肿瘤的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,32,类泛素化修饰SUMOylation调节β- catenin细胞内定位在哮喘气道上皮屏障破坏中的作用及机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,33,油酰乙醇胺介导胎盘来源的细胞外基质蛋白Periostin在子痫前期心脏损伤中的作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,34,METTL16调控SIAH2 m6A修饰通过 Hippo-YAP通路促进肝癌辐射抵抗的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,35,靶向NPM1c新抗原的TCR-T细胞治疗急性髓细胞白血病的作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,36,可塑性共晶体对高比例主药含量片剂可压性的改善作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,37,肠上皮中富含Perilipin 2的脂滴抵抗 致病菌侵袭在克罗恩病中的保护作用 及机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,38,肿瘤微环境中胆固醇通过内质网应激反应诱导抑制性Foxp3+CD8+ T细胞分化的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,39,X射线诱导鼻咽癌细胞脂质代谢失调进而促进其铁死亡的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,40,β-catenin突变通过调控射线诱导的 DNA损伤修复及铁死亡降低放疗联合免疫检查点抑制剂在肝癌中疗效的机制 研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,41,益生菌联用后生元通过A7R/ROS改善 HIV-1相关神经认知障碍的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,42,ALA-PDT介导cGAS/STING途径诱导自噬促进HPV清除的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,43,胰岛LRP5高甲基化介导的父亲睡眠剥 夺导致子代雄性小鼠糖代谢异常的机 制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,44,大豆皂苷经调控DDX5-TSC1/2-mTORC1- 自噬信号轴预防非酒精性脂肪肝炎的分子机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,45,脑源性星形胶质细胞外泌体的富集及 其tau蛋白与miRNA同步灵敏检测助力阿尔兹海默病的精准早期诊断,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,46,基于DNAzyme的指数扩增新方法在单细 胞水平活细胞内microRNA成像研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,47,苦参碱通过调控STARD4干扰胆固醇代 谢抑制肝癌侵袭转移的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,48,METTL3介导滋养细胞外泌体lncRNA TDRKH-AS1调控NCOA4的m6A修饰诱导细胞铁死亡在子痫前期中的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,49,丘脑室旁核扩散癫痫性脑活动的作用和神经环路,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,50,沙眼衣原体通过CPAF抑制宿主SLC7A11诱导铁死亡的作用和分子机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,51,Pycr1/NAD+/Sirt7轴介导成纤维细胞 线粒体-细胞核通讯调控脯氨酸代谢参与心梗早期纤维化修复的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,52,黑素经MelLec/Treg介导巨噬细胞重编程促进着色芽生菌病瘢痕形成的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,53,SMPDL3B通过调控神经酰胺代谢诱导线 粒体动力学变化影响卵巢癌顺铂敏感性的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,54,ADAM12+成纤维细胞通过分泌COMP促进皮肤创伤后纤维化的功能和机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,55,GNG4调控去泛素化酶USP22降解促进结直肠癌免疫治疗抵抗的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,56,基于全基因组筛查研究IL-10激活 JAK/STAT通路防治急性肝衰竭的机制及三黄茵赤汤的干预作用,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,57,Irisin通过FUNDC1介导的线粒体自噬通路改善烧伤脓毒症心肌损伤的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,58,基于代谢组学和蛋白组学探讨“滤泡 辅助T细胞-IL21-B细胞-HBcAb”免疫网络介导乙肝临床治愈的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,59,鼻咽癌Tenascin-c基因表观遗传学重 编程与生脉姜黄散放射增敏的机制研 究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,60,非诺贝特激动PPARα并作用于YAP信号 促进肝再生的分子事件与机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,61,靶向光动力治疗纳米载体 Lins/Ce6@CaCO3-PEG双重阻断糖酵解 及氧化磷酸化能量代谢，抑制胰腺癌生长的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,62,支链氨基酸代谢共调控肿瘤细胞及免疫微环境促KRAS突变型结直肠癌恶性进展的分子机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,63,基于多元交叉注意力机制的运动异常检测方法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,64,SIRT7介导机械力感受器YAP去乙酰化修饰在病理性牵张力所致动脉钙化中的作用研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,65,AnnexinA3介导肾小管上皮细胞再生 修复在急性肾损伤中的作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,66,CircIPP2A2通过募集m7G修饰蛋白驱动糖酵解关键基因PKM2翻译促进肝细胞 癌对TKI耐药的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,67,组织蛋白酶D异常调控2-羟基戊二酸代谢加速糖尿病肾病进展,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,68,SNCA A53T通过促进TRIM2泛素化抑制Na+/K+-ATP酶活性在帕金森病进展中的作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,69,MBNL3介导的TEAD1转录本选择性拼接调控人滋养层干细胞自我更新的功能 和机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,70,破壁人参黄芪饮通过细胞外基质-整联 蛋白αVβ3-细胞骨架-核骨架调控应力加载下肺癌细胞生物学行为的细胞 力学转导机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,71,幽门螺杆菌毒力蛋白CagA诱发支链氨基酸代谢重编程在其致胃癌中的机制 研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,72,白纹伊蚊piRNA对卵巢发育的调控作用及其机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,73,骨稳态失衡微观模拟系统的构建及应用验证,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,74,巨噬细胞特异性敲除FDFT1对神经损伤修复的影响及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,75,PLA2G7介导的脂质代谢在调控海马神 经干细胞活性及老年化认知衰退中的作用和机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,76,光遗传刺激迷走神经调控巨噬细胞极化重塑免疫微环境促进心肌再生的研 究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,77,靶向AgrC专一性抗金黄色葡萄球菌多 肽的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,78,新颖PKC激动剂teleocidins类化合物生物合成基因簇中关键P450酶的结构与功能研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,79,缺氧诱导的DSC3反馈激活HIF1α促进鼻咽癌化疗抵抗的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,80,去泛素化酶复合物UAF1/USP12促进 CD4+T细胞功能和机体免疫应答的作用 和机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,81,CircWDR1通过激活PAK2抑制TGF-β信号通路促进软骨退变的作用及机制研 究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,82,IKZF1在IgG4相关性疾病（IgG4-RD） 中的致病作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,83,昼夜节律紊乱通过mTORC1信号通路调控椎间盘稳态及其与下腰痛发病的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,84,AGEs诱导CD44表达增加导致新生血管成熟不足的作用和机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,85,构建靶向EGFR的18F/177Lu标记异源二聚多肽用于肿瘤诊疗一体化研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,86,电针调控LAR/Cav2.1影响CUMS抑郁小鼠海马突触前活动区机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,87,FLT3抑制剂联合FLT3/NKG2D-CART细胞 协同抗难治性FLT3+-AML的作用及机制 研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,88,组蛋白去乙酰化酶3调控FLT3-ITD+AML耐药机制及干预研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,89,hiNSCs来源外泌体对脊髓损伤后再髓 鞘化及神经功能恢复的实验研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,90,IL21/IL18融合受体激活STAT3和NF-KB信号网络增强CAR-T抗实体瘤的机制 研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,91,柠檬酸转运载体介导能量代谢重编程在破骨细胞分化中的作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,92,3D打印免植骨PEEK椎间融合器亲水改性调控表面微/纳米结构促进骨生长的应用基础研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,93,FDA上市药物库筛选鉴定靶向治疗ARID1A缺陷型结直肠癌的合成致死效应及分子机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,94,ACER3/ULCC代谢通路在抑制线粒体氧化应激减轻肝缺血再灌注损伤的作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,95,EBV阳性鼻咽癌细胞外泌体内EBV-miR- BART2-5p诱导血管内皮细胞焦亡促进鼻咽癌转移的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,96,HnRNPF通过相分离提高SLC7A11mRNA稳定性促进膀胱癌顺铂化疗抵抗的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,97,海藻糖-6-磷酸代谢对白纹伊蚊几丁质合成和抗药性的作用机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,98,西黄丸通过糖基化修饰SIRPα调控结直肠癌化疗耐药的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,99,E2F-1/MRPL41介导的线粒体呼吸链损伤在ZNP抑制角质形成细胞增殖中的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,100,自然杀伤细胞在结核抵抗者产生中的作用机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,101,肝癌UBE2C调控肿瘤相关巨噬细胞表型转化介导仑伐替尼耐药的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,102,Dppa2作为p53在胚胎干细胞中新的互作蛋白参与DNA损伤引起的细胞凋亡的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,103,NPS/NPSR1通过cGAS-STING通路重塑免 疫微环境增强MSS/pMMR型结直肠癌患者免疫疗效的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,104,生物学可解释的基于CT和数字病理的多尺度智能模型精准预测肝癌术后预 后的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,105,APC上的Jagged1配体与CD4+T细胞上的 Notch1受体的信息交流在H.pylori感 染过程中的作用,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,106,PBRM1缺失肾细胞癌对p300/CBP抑制剂敏感的发现及其机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,107,NRF2介导非必需氨基酸代谢抑制铁死亡导致阿帕替尼耐药的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,108,靶向EGFR光声/MRI诊疗纳米探针的构建及在结直肠癌诊疗中的应用,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,109,基于双相ECM的复合组织再生支架构建及其骨软骨缺损修复的应用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,110,新型仿生药物递送系统用于原位胶质 瘤化疗和酶促增强声动力联合治疗研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,111,基于BRB屏障突破的苦参黄酮成分调节 细胞自噬抑制新生血管形成抗糖尿病 视网膜病机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,112,双酚化合物经核受体/CYP酶介导的增强有机致癌物致突变与致癌作用的研 究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,113,组蛋白甲基转移酶EZH2通过H3K9me3修饰调控ENO1剪接模式增强胶质母细胞瘤糖酵解活性的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,114,基于ErbB2介导巨噬细胞代谢重编程的凉膈散抗急性呼吸窘迫综合征作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,115,宿主红细胞膜修饰介导的异种脂肪脱细胞基质MHC抗原封闭及其脂肪再生的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,116,子宫内膜异位症患者miR-205-5p甲基化通过线粒体凋亡调控子宫内膜细胞功能的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,117,胆汁酸调控TGR5信号通路在铅神经毒性中的作用及机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,118,雄激素通过激活AR/miR-128-3p/TFEB通路抑制毛母质细胞自噬促进其凋亡的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,119,病毒整合为BKV溶解性感染和细胞转化动态平衡提供原动力的分子机制及靶向药物研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,120,IL-11抑制性多肽联合PD-1阻断抗体治疗结直肠癌的实验性治疗研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,121,益肾泄浊方通过AhR/cGAS/STING/NF-KB通路调控线粒体功能抑制顺铂致 AKI肾小管上皮细胞铁死亡的机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,122,肠道益生菌通过囊泡抑制肝癌进展的具体机制及其在临床疗效评价中的应用研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,123,生物打印戟叶菫菜纳米金的仿生梯度 强度水凝胶在肩袖损伤修复中的作用研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,124,复合介质净化/快速电聚焦富集进样一 体化样品前处理技术在化妆品安全评估的应用,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,125,熊蜂类情绪状态的传染：来自认知、行为和生理的证据,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,126,宿主波形蛋白Vimentin促进弓形虫入 侵血脑屏障致脑损伤机制的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,127,细胞外囊泡miR141-3p介导的肠上皮细 胞对肝祖细胞的促分化作用及机制研 究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,128,角质形成细胞lncRNA AGAP2-AS1通过外泌体调控CD4+T细胞功能促进银屑病的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,129,β-榄香烯在中药免疫-靶向的肝癌递送系统中的免疫调节机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,130,基于生殖道微生态菌群调节探究紫草活性成分清除宫颈HPV感染的作用机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,131,基于高识别力微单倍型遗传标记系统解析并精准溯源广东各族群的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,132,雄激素受体AR调控并结合于PD-L1蛋白促进肝癌细胞免疫逃逸的分子机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,133,基于STAT3驱动的乳酸代谢重编程探讨中药紫草抑制结直肠癌的药效物质和作用机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,134,代代花黄酮调控ATMs源外泌体miR-155-PPARγ新途径改善肥胖诱导胰岛素抵抗的药效物质及作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,135,RING结构域含三联基元蛋白65激活肝 细胞经典NF-κB信号通路抑制cccDNA转录调控的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,136,肠道菌群通过胆汁酸/FXR/NLRP3信号通路调控坏死性小肠结肠炎相关神经发育障碍的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,137,叶酸饮食上调肿瘤细胞SHMT1表达继而诱导T细胞耗竭的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,138,母体肠道菌群失调诱导氧化三甲胺生成导致胎儿宫内生长受限的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,139,反脆弱发展理念视角下基层医疗卫生服务供给侧改革及路径优化研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,140,一碳代谢的高度激活在H3K27M突变型DIPG中的意义及调控机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,141,基于HSC线粒体自噬-铜死亡crosstalk探讨鳖甲煎丸抗肝纤维化的作用机理,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,142,MMP9响应性水凝胶通过靶向抑制CCL9修复生长板损伤的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,143,新冠病毒刺突糖蛋白介导突破血-视网膜外屏障的分子机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,144,膜修复蛋白MG53对耳蜗毛细胞的保护作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,145,IL-21通过促进MDSCs分化及其抑制功能改善慢性HBV感染肝炎活动的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,146,肺腺癌胸膜凹陷征的单细胞多组学图谱构建研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,147,基于PADM模型的疫情情境下公众健康行为形成机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,148,皮肤共生微生物诱导Lgr6+角质细胞 Lactate/YAP/Hippo轴促进创伤后毛囊再生的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,149,核微丝组装介导MRTF-A/SRF的激活在Cdc42促进神经元轴突发生中的作用,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,150,毛囊真皮干细胞复合膜片构建及其促 进创面修复与毛囊再生的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,151,肾康方通过JMJD1A/SEMA7A/ATF3信号 通路改善糖尿病肾病肾小球内皮细胞 转分化的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,152,去泛素化酶USP28稳定乏氧小生境介导 胶质母细胞瘤耐药机制及西黄丸的干 预作用,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,153,肠道菌群通过调控MicroRNA-155参与甲基苯丙胺引起的精神障碍,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,154,新型环状RNAcircCCDC719-15通过编码自分泌蛋白circCCDC7-180aa促进FLRT3表达抑制前列腺癌进展的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,155,NRP1多层次介导肺癌脑转移瘤靶向药物耐药的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,156,PDE9A抑制剂BI-409306通过调节突触 可塑性治疗酒精成瘾,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,157,复合水凝胶对子宫内膜损伤修复的疗效及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,158,心肌细胞分泌Stc1蛋白对话中性粒细胞介导缺氧微环境预适应的自我保护减轻缺血再灌注损伤,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,159,GPER1调控Hippo-YAP介导p21依赖性蜕膜细胞衰老促进胎盘植入发生的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,160,KMT2D介导CRPC中AR再活化及转录重编程的作用和机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
